Role Name,Description,Region
Administrators,Administrators group,
Analyzer User Group,Analyzer User Group,
BROADBAND,System operator group,
CA Administrator Group,CA administrator group has operation rights on all functions of the Certificate Authority Service.,
CA Operator Group,CA operator group has operation rights on some functions of the Certificate Authority Service.,
Core,System maintenance group,
GPON_Call_Center,This group for Call Centre Team Read only,
GPON_Help_Desk,System operator group,
Guest_2,this grp done based on support request,
Guests,Guest user group,
HOFS Group,System operator group,
ISSTAR_Access,for people wat access ISSTAR,
MADA-BROADBAND,System operator group,
MADA-TRANSPORT,System operator group,
MADA-TRANSPORT-RTN,System operator group,
Maintenance Group,System maintenance group,
Maintenance_2,this grp done for based on support recommendation,
NBI User Group,NBI User Group,
NOC_OPERATIONS,NOC_OPERATIONS,
Operator Group,System operator group,
Performance,For Zain Performance Team,
SMManagers,Security managers user group,
Task_Help_Desk,Created for Task management for Help Desk Team,
The role to invoke southbound APIs,Indicates the role to invoke southbound APIs,
Transport,System maintenance group,
VAS,System maintenance group,
monitor_goup,monitor_goup,
uTraffic User Group,uTraffic User Group,
