Operation,Level,Operator,Time,Source,Terminal IP Address,Operation Object,Result,Details
Query logs,Warning,admin,"	16/09/2025 14:26:01 +03:00",Log Management,192.168.7.160,Log Management,Successful,Operation logs queried successfully.
query current activities,Minor,admin,"	16/09/2025 14:25:16 +03:00",OSSFaceService,192.168.7.160,query current activities,Successful,query current activities
Query the operator type,Minor,admin,"	16/09/2025 14:25:16 +03:00",NBIMgmtService,192.168.7.160,Obtain the operator type,Failed,Failed:Query the current operator type
Transparent transmission of MML commands,Risk,murad.s,"	16/09/2025 14:23:58 +03:00",MmlService,192.168.19.205,1108-UL_Harraneh_Palace_PF_TASC_Solar,Successful,"Function:[Configuration Management][MML Command]
MOD CELLDLPCPDSCHPA:LOCALCELLID=73,PAPCOFF=DB_1DOT77_P_A;"
Transparent transmission of MML commands,Risk,murad.s,"	16/09/2025 14:23:57 +03:00",MmlService,192.168.19.205,1108-UL_Harraneh_Palace_PF_TASC_Solar,Successful,"Function:[Configuration Management][MML Command]
MOD PDSCHCFG:LOCALCELLID=73,REFERENCESIGNALPWR=162;"
Transparent transmission of MML commands,Minor,abdallah.alomari,"	16/09/2025 14:23:54 +03:00",MmlService,192.168.27.168,2891-UL_Khaldieh_Khalid_bin_Waleed_Scl_TASC_O,Successful,"Function:[Configuration Management][MML Command]
DSP TXBRANCH:;"
Transparent transmission of MML commands,Risk,murad.s,"	16/09/2025 14:23:48 +03:00",MmlService,192.168.19.205,1108-UL_Harraneh_Palace_PF_TASC_Solar,Successful,"Function:[Configuration Management][MML Command]
MOD CELLDLPCPDSCHPA:LOCALCELLID=73,PAPCOFF=DB_1DOT77_P_A;"
Transparent transmission of MML commands,Risk,murad.s,"	16/09/2025 14:23:47 +03:00",MmlService,192.168.19.205,1108-UL_Harraneh_Palace_PF_TASC_Solar,Failed,"Function:[Configuration Management][MML Command]
MOD PDSCHCFG:LOCALCELLID=73,REFERENCESIGNALPWR=162;
Failed to obtain the cell power license."
Configuration Report Query,Minor,thabet.jaradat,"	16/09/2025 14:23:24 +03:00",CMEServer,192.168.19.22,The Current Area,Successful,"[Module]: Configuration Report Management
[Consume(s)]: 49
[Result]: Successful
[Scenario]: Report Query successfully. name:CELLQCIPARA - W CO. type:Co-MPT BTS.
Queried MOCs: 3, ATTRs: 44, NEs: 2831, "
Transparent transmission of MML commands,Minor,basharad,"	16/09/2025 14:23:03 +03:00",MmlService,192.168.27.31,6350-UL_Ramtha_Governmental_Hosp_IBS,Successful,"Function:[Configuration Management][MML Command]
LST ESN:;"
Query report results by condition (report type).,Minor,thabet.jaradat,"	16/09/2025 14:22:31 +03:00",CMEFaceService,192.168.19.22,Query report results by condition (report type).,Successful,Query report results by condition (report type).
Query alarm monitoring task version,Risk,Ayman.Al-Sayyed,"	16/09/2025 14:22:31 +03:00",Alarm Management,172.17.218.12,Alarm monitoring query,Failed,Invalid parameters.
query current activities,Minor,Ayman.Al-Sayyed,"	16/09/2025 14:22:28 +03:00",OSSFaceService,172.17.218.12,query current activities,Successful,query current activities
Query the operator type,Minor,Ayman.Al-Sayyed,"	16/09/2025 14:22:27 +03:00",NBIMgmtService,172.17.218.12,Obtain the operator type,Failed,Failed:Query the current operator type
Querying Default Selected NEs,Minor,thabet.jaradat,"	16/09/2025 14:22:26 +03:00",CMEFaceService,192.168.19.22,Querying Default Selected NEs,Successful,Querying Default Selected NEs
Get DHCP information,Minor,Sami.Shehadeh,"	16/09/2025 14:22:23 +03:00",ADNService,192.168.27.67,OSS,Successful,"Function:[Configuration][DHCP Configuration Management]
Get DHCP information Successful"
Get DHCP information,Minor,murad.s,"	16/09/2025 14:22:22 +03:00",ADNService,192.168.19.205,OSS,Successful,"Function:[Configuration][DHCP Configuration Management]
Get DHCP information Successful"
Get unieye mode list,Minor,thabet.jaradat,"	16/09/2025 14:22:20 +03:00",CMEFaceService,192.168.19.22,Get unieye mode list,Successful,Get unieye mode list
Querying Default Selected NEs,Minor,thabet.jaradat,"	16/09/2025 14:22:20 +03:00",CMEFaceService,192.168.19.22,Querying Default Selected NEs,Successful,Querying Default Selected NEs
Check the information of configuration report.,Minor,thabet.jaradat,"	16/09/2025 14:22:15 +03:00",CMEFaceService,192.168.19.22,Check the information of configuration report.,Successful,Check the information of configuration report.
Delete the corresponding temporary table based on the table name (opId).,Minor,thabet.jaradat,"	16/09/2025 14:21:53 +03:00",CMEFaceService,192.168.19.22,Delete the corresponding temporary table based on the table name (opId).,Successful,Delete the corresponding temporary table based on the table name (opId).
query report list,Minor,thabet.jaradat,"	16/09/2025 14:21:53 +03:00",CMEFaceService,192.168.19.22,for querying report list,Successful,query report list
userflag,Minor,thabet.jaradat,"	16/09/2025 14:21:53 +03:00",CMEFaceService,192.168.19.22,userflag,Successful,"	--"
Save Extend Apply settings,Minor,alaa.mufleh,"	16/09/2025 14:21:22 +03:00",Topology Management,192.168.27.68,Topology Management,Successful,"Topology: Physical Topology
Current settings: Cell List, Browse Current Alarms"
Save Extend Apply settings,Minor,alaa.mufleh,"	16/09/2025 14:21:16 +03:00",Topology Management,192.168.27.68,Topology Management,Successful,"Topology: Physical Topology
Current settings: Cell List, Browse Current Alarms"
Transparent transmission of MML commands,Minor,alaaaldada.q,"	16/09/2025 14:21:13 +03:00",MmlService,172.17.127.33,HQ2-UDG02,Successful,"Function:[Configuration Management][MML Command]
DSP LICENSE:;"
Transparent transmission of MML commands,Minor,alaaaldada.q,"	16/09/2025 14:21:13 +03:00",MmlService,172.17.127.33,AA2-UDG02,Successful,"Function:[Configuration Management][MML Command]
DSP LICENSE:;"
Transparent transmission of MML commands,Minor,alaaaldada.q,"	16/09/2025 14:21:13 +03:00",MmlService,172.17.127.33,HQ2-UDG01,Successful,"Function:[Configuration Management][MML Command]
DSP LICENSE:;"
Transparent transmission of MML commands,Minor,alaaaldada.q,"	16/09/2025 14:21:13 +03:00",MmlService,172.17.127.33,AA2-UDG01,Successful,"Function:[Configuration Management][MML Command]
DSP LICENSE:;"
Save Extend Apply settings,Minor,rayanfan,"	16/09/2025 14:20:51 +03:00",Topology Management,192.168.19.112,Topology Management,Successful,"Topology: Physical Topology
Current settings: Browse Current Alarms, Cell List"
Start Deployment,Risk,murad.s,"	16/09/2025 14:20:43 +03:00",ADNService,192.168.19.205,OSS,Successful,"Function:[SON][Auto Deployment]
NEName: 6545-UL_Mcar8_RNC08
Active Alarm Check:1
Bar Code Scan:1
Board State Check:1
BTS Status Check:1
Duration from script delivery to automatic rollback (min):0
CPRI Bandwidth Check:1
Clock State Check:1
Common License State Check:1
RF Signal Combination on the Same Frequency Band:0
DFU Management Link State Check:1
DSA Cell State Check:1
DSA License State Check:1
DSA S1 Interface State Check:1
GPS Check:1
GSM Cell State Check:1
LTE License State Check:1
LTE S1 Interface State Check:1
LTE W1 Interface State Check:1
LTE Cell State Check:1
NR Cell State Check:1
NR DU Cell State Check:1
NR F1 Interface State Check:1
NR License State Check:1
NR NG Interface State Check:1
NR X2 Interface State Check:1
Optical Power Check:1
Difference Threshold:10
Service Rate Threshold:40
PIM Product Threshold:138
RFA Cell State Check:1
Software Version Check:1
Optical Module Check:1
UMTS Cell State Check:1
VSWR Threshold:1.5
RAT to Be Checked:UMTS,LTE"
NE Deployment Parameter Setting,Risk,murad.s,"	16/09/2025 14:20:43 +03:00",ADNService,192.168.19.205,OSS,Successful,"Function:[SON][Auto Deployment]
NE Parameter setting succeeded, the NE Name:6545-UL_Mcar8_RNC08"
Transparent transmission of MML commands,Minor,alaaaldada.q,"	16/09/2025 14:20:42 +03:00",MmlService,172.17.127.33,HQ2-UNC01,Successful,"Function:[Configuration Management][MML Command]
DSP LICENSE:;"
