Role Name,Description,Region
Administrators,Administrators group,
Advace optmiz,for optimization team need,
Assurance User Group,For Assurance User Group,
Configuration and DataBase,"Users can create, configure and modify NEs , the also can intiate traces and export HW status",
Core Group,System Maintenance Group,
CoreMaster,System Maintenance Group,
ECO Group,For ECO to send commands,
Guests,Read only ,
HOFS Group,System HOFS group,
Huawei_CO-UMPT,this group for Huawei users,
Huawei_Configuration and DataBase,contains 200 site for Huawei Remote support Team,
Huawei_Core_Team_Group,System Maintenance Group,
Huawei_Team_Group,System Maintenance Group,
LST_OPTLOG_Group,This grou[p for users that can List Operation Log,
Limited_Operator_Core,for RAN users access to Core,
MW_Operation,MW users that need to ping and browse alarms only,
Maintenance & RAN,System Maintenance Group,
Maintenance Group,System Maintenance Group,
Maintenance_Team_Extra,Extra Commands for Maintenance Team,
Managers_And_TeamLeaders,Top Management,
Monitoring Group,System Monitoring Group,
NBI Admin Group,It has the permissions on operations and interface configurations for all management interfaces.,
NBI User Group,Has the permissions on operations and interface configurations for all northbound interfaces.,
NBI_MML_Group,Autin User,
NFVOAccessRole,"Has the right to use some northbound APIs, which is the role provided for NFVO to call northbound APIs.",
NOC Operators,Normal operator group,
NOC_Shift_Leaders,NOC ShiftLeaders | Read only ,
Operator Group,System Operator Group,
Parlaiment,System Maintenance Group,
Performance,"Users who need to see the stats , configuration and alarms of NE",
Performance_monitor,Specail group for Performance monitoring access,
Planning,System Maintenance Group,
Power_Team,This group is trageting power team commands needed for battery manipulation,
SMManagers,Security managers user group,
TSGroup,System Maintenance Group,
TascTowers_Team,System Operator Group,
TascTowers_Team_Extra,System Operator Group,
The role to invoke southbound APIs,Indicates the role to invoke southbound APIs,
VAS Group,System Operator Group,
VNFM User Group,Core IaaS Group,
VNFMAccessRole,"Has the right to use all northbound APIs, which is the role provided for CSM to call northbound APIs.",
WebNIC User Group,For WebNIC User Group,
ntecoroles,connection between NetEco & U2020,
